RowID;PFS_Column;Value
1;EBF_PFS;0,93
1;LIF_PFS;0,99
1;P200_I_PFS;0,92
1;UF_PFS;0,92
1;TD_PFS;0,96
2;EBF_PFS;0,96
2;EBLR_PFS;0,95
2;EPLR_PFS;0,94
2;KP_PFS;0,96
3;EALR_PFS;0,98
3;PM25F_PFS;0,97
3;FLD_PFS;0,91
3;WFR_PFS;0,96
